Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind
2021-07-20 13:49:52,CRO Rewards,CRO,17.30478045,,,USD,1.74,1.74,referral_card_cashback
2021-07-20 00:59:37,CRO Stake Rewards,CRO,64.3769863,,,USD,6.73,6.73,mco_stake_reward
2021-07-19 04:48:27,CRO Rewards,CRO,18.96230238,,,USD,2.1,2.1,referral_card_cashback
2021-07-16 21:18:24,CRO Rewards,CRO,14.24080424,,,USD,1.59,1.59,referral_card_cashback
2021-07-16 19:32:06,CRO Rewards,CRO,0.53613348,,,USD,0.06,0.06,referral_card_cashback
2021-07-16 19:31:11,CRO Rewards,CRO,14.29047309,,,USD,1.6,1.6,referral_card_cashback
2021-07-16 04:54:29,CRO Rewards,CRO,5.28067758,,,USD,0.6,0.6,referral_card_cashback
2021-07-13 00:58:08,CRO Stake Rewards,CRO,64.3769863,,,USD,7.8,7.8,mco_stake_reward
2021-07-11 13:02:20,CRO Rewards,CRO,2.93298878,,,USD,0.36,0.36,referral_card_cashback
2021-07-10 01:32:00,CRO Rewards,CRO,10.07432742,,,USD,1.21,1.21,referral_card_cashback
2021-07-08 19:00:37,CRO Rewards,CRO,6.42482439,,,USD,0.73,0.73,referral_card_cashback
2021-07-08 16:02:05,CRO Rewards,CRO,5.92507114,,,USD,0.67,0.67,referral_card_cashback
2021-07-06 23:40:51,CRO Rewards,CRO,2.40624902,,,USD,0.29,0.29,referral_card_cashback
2021-07-06 04:20:17,CRO Rewards,CRO,5.21548403,,,USD,0.64,0.64,referral_card_cashback
2021-07-06 01:05:23,CRO Stake Rewards,CRO,55.18027397,,,USD,6.63,6.63,mco_stake_reward
2021-07-04 16:16:50,CRO Rewards,CRO,7.78605152,,,USD,0.97,0.97,referral_card_cashback
2021-07-04 15:58:54,CRO Rewards,CRO,10.32521164,,,USD,1.28,1.28,referral_card_cashback
2021-07-03 22:29:20,CRO Rewards,CRO,2.68724722,,,USD,0.32,0.32,referral_card_cashback
2021-07-03 17:36:43,CRO Rewards,CRO,7.75788878,,,USD,0.92,0.92,referral_card_cashback
2021-07-01 20:37:47,CRO Rewards,CRO,14.1187402,,,USD,1.59,1.59,referral_card_cashback
2021-06-29 14:42:35,CRO Stake,CRO,-28568.0,,,USD,-3405.94,-3405.94,lockup_upgrade
2021-06-29 14:39:12,CRO Deposit,CRO,8500.0,,,USD,994.35,994.35,crypto_deposit
2021-06-28 19:04:36,CRO Rewards,CRO,5.54672399,,,USD,0.6,0.6,referral_card_cashback
2021-06-23 07:29:04,CRO Rewards,CRO,4.32556119,,,USD,0.4,0.4,referral_card_cashback
2021-06-22 19:19:40,CRO Rewards,CRO,4.87009174,,,USD,0.44,0.44,referral_card_cashback
2021-06-22 00:41:36,CRO Rewards,CRO,0.43664451,,,USD,0.04,0.04,referral_card_cashback
2021-06-22 00:41:36,CRO Rewards,CRO,12.44436846,,,USD,1.14,1.14,referral_card_cashback
2021-06-21 23:37:03,CRO Rewards,CRO,5.39507221,,,USD,0.5,0.5,referral_card_cashback
2021-06-21 17:55:31,CRO Rewards,CRO,16.02707251,,,USD,1.51,1.51,referral_card_cashback
2021-06-21 17:47:38,CRO Rewards,CRO,8.47573548,,,USD,0.8,0.8,referral_card_cashback
2021-06-21 03:03:39,Card Rebate: Spotify,CRO,95.13866551,,,USD,9.99,9.99,reimbursement
2021-06-21 00:40:59,CRO Rewards,CRO,4.96093774,,,USD,0.53,0.53,referral_card_cashback
2021-06-20 18:56:35,CRO Rewards,CRO,4.94152806,,,USD,0.52,0.52,referral_card_cashback
2021-06-19 06:15:32,CRO Rewards,CRO,13.13279247,,,USD,1.4,1.4,referral_card_cashback
2021-06-18 20:03:49,CRO Rewards,CRO,8.28534925,,,USD,0.87,0.87,referral_card_cashback
2021-06-18 15:58:30,CRO Rewards,CRO,3.60168789,,,USD,0.39,0.39,referral_card_cashback
2021-06-11 15:43:29,CRO Rewards,CRO,12.65194994,,,USD,1.5,1.5,referral_card_cashback
2021-06-11 06:12:07,CRO Rewards,CRO,2.00728809,,,USD,0.24,0.24,referral_card_cashback
2021-06-11 04:36:56,CRO Rewards,CRO,3.33007739,,,USD,0.4,0.4,referral_card_cashback
2021-06-10 16:04:35,CRO Rewards,CRO,1.1721009,,,USD,0.14,0.14,referral_card_cashback
2021-06-09 14:09:36,CRO Rewards,CRO,3.36329933,,,USD,0.4,0.4,referral_card_cashback
2021-06-07 17:36:03,CRO Rewards,CRO,9.96680442,,,USD,1.25,1.25,referral_card_cashback
2021-06-06 16:45:11,CRO Rewards,CRO,2.09035715,,,USD,0.26,0.26,referral_card_cashback
2021-06-04 06:45:09,CRO Rewards,CRO,-1.56952199,,,USD,-0.2,-0.2,card_cashback_reverted
2021-06-04 06:45:03,CRO Rewards,CRO,-2.6671351,,,USD,-0.34,-0.34,card_cashback_reverted
2021-06-03 13:57:29,Convert Dust,CRO,3.337493082849018933,,,USD,0.44,0.44,dust_conversion_credited
2021-06-03 13:57:29,Convert Dust,ADA,-0.02690411,,,USD,-0.05,-0.05,dust_conversion_debited
2021-06-03 13:57:29,Convert Dust,BNB,-0.00095889,,,USD,-0.39,-0.39,dust_conversion_debited
2021-06-03 13:52:55,CRO -> USD,CRO,-4000.0,USD,520.74,USD,-520.74,-520.74,crypto_to_van_sell_order
2021-06-03 13:49:00,ADA -> CRO,ADA,-386.1,CRO,5220.78371144,USD,691.54,691.54,crypto_exchange
2021-06-03 13:48:47,BNB -> CRO,BNB,-2.002,CRO,6171.28490652,USD,817.19,817.19,crypto_exchange
2021-06-03 01:10:03,Crypto Earn Withdrawal,BNT,40.0,,,USD,185.07,185.07,crypto_earn_program_withdrawn
2021-06-03 00:57:49,Crypto Earn,BNT,0.01315068,,,USD,0.06,0.06,crypto_earn_interest_paid
2021-06-02 09:44:35,CRO Rewards,CRO,1.56952199,,,USD,0.2,0.2,referral_card_cashback
2021-06-02 09:44:22,CRO Rewards,CRO,2.6671351,,,USD,0.34,0.34,referral_card_cashback
2021-06-01 18:18:38,CRO Rewards,CRO,7.16020376,,,USD,0.87,0.87,referral_card_cashback
2021-06-01 16:59:31,CRO Rewards,CRO,5.30503099,,,USD,0.64,0.64,referral_card_cashback
2021-06-01 09:45:40,CRO Rewards,CRO,1.63721724,,,USD,0.2,0.2,referral_card_cashback
2021-05-30 15:35:01,Crypto Earn Withdrawal,BNB,2.0,,,USD,636.61,636.61,crypto_earn_program_withdrawn
2021-05-30 15:35:01,Crypto Earn Withdrawal,ADA,386.0,,,USD,614.78,614.78,crypto_earn_program_withdrawn
2021-05-30 00:35:12,Crypto Earn,ADA,0.12690411,,,USD,0.17,0.17,crypto_earn_interest_paid
2021-05-30 00:35:12,Crypto Earn,BNB,0.00065753,,,USD,0.19,0.19,crypto_earn_interest_paid
2021-05-28 23:12:28,CRO Rewards,CRO,25.31536996,,,USD,2.86,2.86,referral_card_cashback
2021-05-28 20:01:26,CRO Rewards,CRO,1.98396343,,,USD,0.23,0.23,referral_card_cashback
2021-05-28 12:15:04,CRO Rewards,CRO,8.85473229,,,USD,1.05,1.05,referral_card_cashback
2021-05-28 00:17:57,Crypto Earn,BNT,0.01534247,,,USD,0.07,0.07,crypto_earn_interest_paid
2021-05-27 04:53:09,CRO Rewards,CRO,3.12974741,,,USD,0.4,0.4,referral_card_cashback
2021-05-25 14:00:47,CRO Rewards,CRO,8.18406527,,,USD,1.0,1.0,referral_card_cashback
2021-05-24 16:33:48,CRO Rewards,CRO,4.57665383,,,USD,0.53,0.53,referral_card_cashback
2021-05-24 13:26:30,Convert Dust,CRO,6.852548563083188453,,,USD,0.77,0.77,dust_conversion_credited
2021-05-24 13:26:30,Convert Dust,ADA,-0.44416437,,,USD,-0.64,-0.64,dust_conversion_debited
2021-05-24 13:26:30,Convert Dust,ETH,-0.00000424,,,USD,-0.01,-0.01,dust_conversion_debited
2021-05-24 13:26:30,Convert Dust,BNT,-0.03068494,,,USD,-0.13,-0.13,dust_conversion_debited
2021-05-24 13:01:21,Buy CRO,CRO,8607.0,,,USD,1000.98,1000.98,crypto_purchase
2021-05-24 12:57:14,ETH -> CRO,ETH,-0.3776,CRO,7874.6397394,USD,907.0,907.0,crypto_exchange
2021-05-24 12:38:13,CRO Rewards,CRO,2.61103929,,,USD,0.3,0.3,referral_card_cashback
2021-05-24 01:05:12,Crypto Earn,ADA,0.14805479,,,USD,0.19,0.19,crypto_earn_interest_paid
2021-05-24 01:05:11,Crypto Earn,BNB,0.00076712,,,USD,0.2,0.2,crypto_earn_interest_paid
